Title,IMDb Rating
Jerry Maguire (1996),7.3
Raising Arizona (1987),7.3
Scream (1996),7.4
Donnie Brasco (1997),7.7
Liar Liar (1997),6.9
Grosse Pointe Blank (1997),7.3
Austin Powers: International Man of Mystery (1997),7.0
"Fifth Element, The (1997)",7.6
"Lost World: Jurassic Park, The (1997)",6.6
Con Air (1997),6.9
Face/Off (1997),7.3
Men in Black (a.k.a. MIB) (1997),7.3
Contact (1997),7.5
Air Force One (1997),6.5
"Hunt for Red October, The (1990)",7.5
L.A. Confidential (1997),8.2
"Game, The (1997)",7.7
Chasing Amy (1997),7.2
"Full Monty, The (1997)",7.2
The Devil's Advocate (1997),7.5
Gattaca (1997),7.7
Starship Troopers (1997),7.3
"Truman Show, The (1998)",8.2
Good Will Hunting (1997),8.3
Titanic (1997),7.9
"Big Lebowski, The (1998)",8.1
"Wedding Singer, The (1998)",6.9
As Good as It Gets (1997),7.7
Armageddon (1998),6.7
There's Something About Mary (1998),7.1
Rocky (1976),8.1
Rain Man (1988),8.0
"Breakfast Club, The (1985)",7.8
"Exorcist, The (1973)",8.1
Lethal Weapon (1987),7.6
"Goonies, The (1985)",7.7
"Mask of Zorro, The (1998)",6.8
Back to the Future Part II (1989),7.8
Back to the Future Part III (1990),7.4
Saving Private Ryan (1998),8.6
"Honey, I Shrunk the Kids (1989)",6.4
"Jungle Book, The (1967)",7.6
Lady and the Tramp (1955),7.3
"Little Mermaid, The (1989)",7.6
Splash (1984),6.3
Indiana Jones and the Temple of Doom (1984),7.5
Blade (1998),7.1
Beetlejuice (1988),7.5
"Untouchables, The (1987)",7.8
"Few Good Men, A (1992)",7.7
Edward Scissorhands (1990),7.9
My Cousin Vinny (1992),7.6
Pleasantville (1998),7.5
Life Is Beautiful (La Vita è bella) (1997),8.6
American History X (1998),8.5
Enemy of the State (1998),7.3
"Bug's Life, A (1998)",7.2
Rushmore (1998),7.6
Shakespeare in Love (1998),7.1
Romancing the Stone (1984),6.9
Crocodile Dundee (1986),6.6
Office Space (1999),7.6
Planet of the Apes (1968),8.0
"Lock, Stock & Two Smoking Barrels (1998)",8.1
"Matrix, The (1999)",8.7
10 Things I Hate About You (1999),7.3
Election (1999),7.2
"Mummy, The (1999)",7.1
Star Wars: Episode I - The Phantom Menace (1999),6.5
Superman (1978),7.4
"Rocky Horror Picture Show, The (1975)",7.4
Notting Hill (1999),7.2
Austin Powers: The Spy Who Shagged Me (1999),6.7
Run Lola Run (Lola rennt) (1998),7.6
Arachnophobia (1990),6.5
"South Park: Bigger, Longer and Uncut (1999)",7.7
Wild Wild West (1999),4.9
American Pie (1999),7.0
"Blair Witch Project, The (1999)",6.5
Eyes Wide Shut (1999),7.5
Ghostbusters (a.k.a. Ghost Busters) (1984),7.8
"Sixth Sense, The (1999)",8.2
Airplane! (1980),7.7
Big (1988),7.3
"Christmas Story, A (1983)",7.9
American Beauty (1999),8.3
Total Recall (1990),7.5
Ferris Bueller's Day Off (1986),7.8
Goldfinger (1964),7.7
Fight Club (1999),8.8
RoboCop (1987),7.6
Who Framed Roger Rabbit? (1988),7.7
Being John Malkovich (1999),7.7
Spaceballs (1987),7.1
Dogma (1999),7.3
Sleepy Hollow (1999),7.3
Toy Story 2 (1999),7.9
"Green Mile, The (1999)",8.6
Magnolia (1999),8.0
Galaxy Quest (1999),7.4
Wayne's World (1992),7.0
Erin Brockovich (2000),7.4
Animal House (1978),7.4
Close Encounters of the Third Kind (1977),7.6
High Fidelity (2000),7.4
Hook (1991),6.8
Predator (1987),7.8
American Psycho (2000),7.6
Caddyshack (1980),7.2
Gladiator (2000),8.5
Mission: Impossible II (2000),6.1
Blazing Saddles (1974),7.7
Gone in 60 Seconds (2000),6.5
Chicken Run (2000),7.1
"Patriot, The (2000)",7.2
X-Men (2000),7.3
Almost Famous (2000),7.9
Best in Show (2000),7.5
Meet the Parents (2000),7.0
Requiem for a Dream (2000),8.3
Charlie's Angels (2000),5.6
Unbreakable (2000),7.3
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",7.9
Snatch (2000),8.2
What Women Want (2000),6.4
Cast Away (2000),7.8
Miss Congeniality (2000),6.3
"O Brother, Where Art Thou? (2000)",7.7
Traffic (2000),7.6
Memento (2000),8.4
Blow (2001),7.5
Bridget Jones's Diary (2001),6.8
Scarface (1983),8.3
Shrek (2001),7.9
Moulin Rouge (2001),7.6
A.I. Artificial Intelligence (2001),7.2
Legally Blonde (2001),6.5
"Others, The (2001)",7.6
Training Day (2001),7.7
Zoolander (2001),6.5
Mulholland Drive (2001),7.9
Donnie Darko (2001),8.0
"Monsters, Inc. (2001)",8.1
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),7.6
Ocean's Eleven (2001),7.7
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",8.3
"Royal Tenenbaums, The (2001)",7.6
"Lord of the Rings: The Fellowship of the Ring, The (2001)",8.9
"Beautiful Mind, A (2001)",8.2
Ice Age (2002),7.5
My Big Fat Greek Wedding (2002),6.6
Spider-Man (2002),7.4
Star Wars: Episode II - Attack of the Clones (2002),6.6
"Bourne Identity, The (2002)",7.8
Minority Report (2002),7.6
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),6.2
Austin Powers in Goldmember (2002),6.2
Signs (2002),6.8
Spirited Away (Sen to Chihiro no kamikakushi) (2001),8.6
Bowling for Columbine (2002),8.0
Harry Potter and the Chamber of Secrets (2002),7.4
"Lord of the Rings: The Two Towers, The (2002)",8.8
Gangs of New York (2002),7.5
Catch Me If You Can (2002),8.1
City of God (Cidade de Deus) (2002),8.6
X2: X-Men United (2003),7.4
"Matrix Reloaded, The (2003)",7.2
Bruce Almighty (2003),6.8
Finding Nemo (2003),8.2
"Italian Job, The (2003)",7.0
28 Days Later (2002),7.5
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.1
Lost in Translation (2003),7.7
School of Rock (2003),7.2
Mystic River (2003),7.9
Kill Bill: Vol. 1 (2003),8.2
"Matrix Revolutions, The (2003)",6.7
Love Actually (2003),7.6
"Last Samurai, The (2003)",7.8
Big Fish (2003),8.0
"Lord of the Rings: The Return of the King, The (2003)",9.0
Eternal Sunshine of the Spotless Mind (2004),8.3
Kill Bill: Vol. 2 (2004),8.0
Shrek 2 (2004),7.3
Harry Potter and the Prisoner of Azkaban (2004),7.9
Spider-Man 2 (2004),7.5
Anchorman: The Legend of Ron Burgundy (2004),7.1
"I, Robot (2004)",7.1
"Bourne Supremacy, The (2004)",7.7
Shaun of the Dead (2004),7.9
"Incredibles, The (2004)",8.0
Million Dollar Baby (2004),8.1
Charlie and the Chocolate Factory (2005),6.7
Sin City (2005),8.0
Star Wars: Episode III - Revenge of the Sith (2005),7.6
Mr. & Mrs. Smith (2005),6.5
Batman Begins (2005),8.2
Wedding Crashers (2005),7.0
"40-Year-Old Virgin, The (2005)",7.1
Harry Potter and the Goblet of Fire (2005),7.7
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",6.9
V for Vendetta (2006),8.1
X-Men: The Last Stand (2006),6.6
Pirates of the Caribbean: Dead Man's Chest (2006),7.4
Little Miss Sunshine (2006),7.8
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),7.4
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",8.2
"Departed, The (2006)",8.5
Children of Men (2006),7.9
"Prestige, The (2006)",8.5
Casino Royale (2006),8.0
Blood Diamond (2006),8.0
Ratatouille (2007),8.1
Hot Fuzz (2007),7.8
300 (2007),7.6
Knocked Up (2007),6.9
Pirates of the Caribbean: At World's End (2007),7.1
Harry Potter and the Order of the Phoenix (2007),7.5
"Bourne Ultimatum, The (2007)",8.0
Superbad (2007),7.6
No Country for Old Men (2007),8.2
I Am Legend (2007),7.2
Juno (2007),7.4
"Dark Knight, The (2008)",9.0
Iron Man (2008),7.9
Kung Fu Panda (2008),7.6
WALL·E (2008),8.4
Slumdog Millionaire (2008),8.0
Inglourious Basterds (2009),8.4
Star Trek (2009),7.9
Up (2009),8.3
"Hangover, The (2009)",7.7
Harry Potter and the Half-Blood Prince (2009),7.6
District 9 (2009),7.9
Zombieland (2009),7.5
Avatar (2009),7.9
Sherlock Holmes (2009),7.6
Shutter Island (2010),8.2
How to Train Your Dragon (2010),8.1
Toy Story 3 (2010),8.3
Inception (2010),8.8
"Social Network, The (2010)",7.8
"King's Speech, The (2010)",8.0
"Avengers, The (2012)",8.0
The Hunger Games (2012),7.2
"Dark Knight Rises, The (2012)",8.4
Django Unchained (2012),8.5
"Wolf of Wall Street, The (2013)",8.2
"Grand Budapest Hotel, The (2014)",8.1
Interstellar (2014),8.7
Guardians of the Galaxy (2014),8.0
Deadpool (2016),8.0
